time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
,-42.878688,-72.531749,10.1763,3.0,,CSN,CSN_498
,-42.908027,-72.485909,10.7099,3.0,,CSN,CSN_505
,-42.855042,-72.555675,6.9828,3.0,,CSN,CSN_509
,-42.917588,-72.479898,18.8395,3.1,,CSN,CSN_510
,-42.866863,-72.550782,8.8631,3.1,,CSN,CSN_513
,-42.858145,-72.563014,9.9401,3.0,,CSN,CSN_521
,-42.839925,-72.603037,9.0496,3.0,,CSN,CSN_522
,-42.88146,-72.532287,14.7832,3.2,,CSN,CSN_526
,-42.881366,-72.548343,13.096,3.0,,CSN,CSN_527
,-42.944081,-72.438352,13.1273,3.3,,CSN,CSN_528
,-42.920189,-72.46203,12.8571,3.1,,CSN,CSN_534
,-42.939878,-72.440237,14.4735,3.1,,CSN,CSN_537
,-42.873132,-72.528514,7.1693,3.1,,CSN,CSN_539
,-42.887312,-72.511171,8.1772,3.1,,CSN,CSN_540
,-42.83677,-72.591889,6.926,3.1,,CSN,CSN_541
,-42.872577,-72.55697,10.7231,3.3,,CSN,CSN_542
,-42.890574,-72.530405,9.2793,3.1,,CSN,CSN_544
,-42.831296,-72.596874,0.6839,3.1,,CSN,CSN_546
,-42.869989,-72.525582,5.7566,3.0,,CSN,CSN_547
,-42.890712,-72.518953,6.9693,3.3,,CSN,CSN_548
,-42.874057,-72.5396,9.4694,3.0,,CSN,CSN_550
,-42.88976,-72.472718,8.0025,3.1,,CSN,CSN_552
,-42.875989,-72.540737,8.7034,3.1,,CSN,CSN_553
,-42.890671,-72.534497,13.4362,3.1,,CSN,CSN_554
,-42.833565,-72.609258,6.1797,3.0,,CSN,CSN_555
,-42.850695,-72.58796,8.0606,3.1,,CSN,CSN_556
,-42.890793,-72.51909,13.7293,3.1,,CSN,CSN_559
,-42.854524,-72.53897,7.4572,3.1,,CSN,CSN_561
,-42.865244,-72.602573,11.3252,3.1,,CSN,CSN_563
,-42.863653,-72.553705,9.0101,3.0,,CSN,CSN_568
,-42.866786,-72.533514,20.7663,3.0,,CSN,CSN_570
,-42.881815,-72.51792,12.01,3.2,,CSN,CSN_572
,-42.881227,-72.523128,8.9649,3.2,,CSN,CSN_575
,-42.852364,-72.588815,8.7545,3.0,,CSN,CSN_577
,-42.839212,-72.604886,7.1187,3.0,,CSN,CSN_579
,-42.852608,-72.609582,10.2422,3.1,,CSN,CSN_580
,-42.843728,-72.603831,9.0057,3.0,,CSN,CSN_582
,-42.898533,-72.520128,11.6624,3.2,,CSN,CSN_583
,-42.868878,-72.565145,10.0449,3.1,,CSN,CSN_587
,-42.894825,-72.514695,11.6731,3.1,,CSN,CSN_589
,-42.880337,-72.532397,10.1398,3.1,,CSN,CSN_592
,-42.889262,-72.523431,10.2391,3.1,,CSN,CSN_594
,-42.88046,-72.532955,10.2341,3.0,,CSN,CSN_595
,-42.867412,-72.536824,9.9677,3.0,,CSN,CSN_596
,-42.883596,-72.535332,12.4439,3.0,,CSN,CSN_601
,-42.922875,-72.483043,21.3435,3.0,,CSN,CSN_602
,-42.854652,-72.586174,10.4046,3.0,,CSN,CSN_607
,-42.909372,-72.485792,10.4261,3.1,,CSN,CSN_608
,-42.825245,-72.608052,4.8652,3.0,,CSN,CSN_613
,-42.895964,-72.512533,10.2949,3.0,,CSN,CSN_618
,-42.833028,-72.563754,2.4315,3.3,,CSN,CSN_625
,-42.793266,-72.704885,-0.1549,3.1,,CSN,CSN_627
,-42.828291,-72.649943,6.9865,3.0,,CSN,CSN_633
,-42.781202,-72.736649,-0.1316,3.0,,CSN,CSN_736
,-42.886464,-72.566047,1.4995,3.0,,CSN,CSN_747
,-42.8676,-72.552436,18.9743,3.2,,CSN,CSN_748
,-42.838408,-72.607353,-0.4499,3.2,,CSN,CSN_750
,-42.856724,-72.597804,1.2473,3.0,,CSN,CSN_751
,-42.864989,-72.566997,8.7475,3.0,,CSN,CSN_753
,-42.881071,-72.569174,7.2178,3.0,,CSN,CSN_754
,-42.932309,-72.439051,6.283,3.0,,CSN,CSN_756
,-42.873409,-72.504442,29.8073,3.2,,CSN,CSN_757
,-42.826723,-72.654863,-0.6277,3.0,,CSN,CSN_758
,-42.878663,-72.595789,1.0013,3.1,,CSN,CSN_760
,-42.854579,-72.555193,25.3251,3.1,,CSN,CSN_761
,-42.855785,-72.588787,7.8949,3.0,,CSN,CSN_763
,-42.908728,-72.477825,13.2367,3.5,,CSN,CSN_764
,-42.963944,-72.441635,18.5789,3.3,,CSN,CSN_765
,-42.798892,-72.684305,-0.1359,3.2,,CSN,CSN_766
,-42.813161,-72.712423,3.9072,3.1,,CSN,CSN_767
,-42.962256,-72.403344,7.735,3.1,,CSN,CSN_768
,-42.881471,-72.582875,11.6604,3.4,,CSN,CSN_770
,-42.879968,-72.561956,6.6584,3.0,,CSN,CSN_771
,-42.820422,-72.643633,0.1401,3.1,,CSN,CSN_772
,-42.836315,-72.631525,3.7747,3.2,,CSN,CSN_773
,-42.819521,-72.639725,5.9254,3.3,,CSN,CSN_774
,-42.894672,-72.503758,11.9508,3.2,,CSN,CSN_776
,-42.849083,-72.570938,5.8761,3.3,,CSN,CSN_777
,-42.868014,-72.564965,10.3458,3.1,,CSN,CSN_778
,-42.845296,-72.602766,5.8294,3.3,,CSN,CSN_779
,-42.992566,-72.402352,13.2035,3.2,,CSN,CSN_780
,-42.93349,-72.461321,14.4886,3.2,,CSN,CSN_781
,-42.91869,-72.442549,-0.4947,3.1,,CSN,CSN_782
,-42.853149,-72.623542,1.3129,3.4,,CSN,CSN_783
,-42.870632,-72.5199,5.7017,3.0,,CSN,CSN_784
,-42.916132,-72.497707,5.165,3.3,,CSN,CSN_785
,-42.941727,-72.45616,16.8695,3.3,,CSN,CSN_786
,-42.950758,-72.467306,6.2096,3.2,,CSN,CSN_787
