time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
1432178129690,33.1621667,-115.6425,5.74,4.1,mw,USGS,ci37166079
1432060561620,36.6628333,-120.8701667,-0.12,3.82,mw,USGS,nc72451856
1431859643184,41.8266,-119.673,6.8,3.2,ml,USGS,nn00494669
1431744394190,37.4736667,-118.79,3.995,3.34,ml,USGS,nc72450006
1431647876860,37.4761667,-118.7881667,3.993,3.05,ml,USGS,nc72449371
1431272578860,35.0286667,-119.0738333,1.27,3.82,ml,USGS,ci37377816
1430937046540,40.6105,-122.4275,22.181,3.23,ml,USGS,nc72444316
1430928661480,33.812,-117.6351667,5.98,3.07,ml,USGS,ci37375864
1430922724070,37.9661667,-122.0433333,12.12,3.51,mw,USGS,nc72444186
1430920907420,37.958,-122.0505,13.91,3.03,ml,USGS,nc72444161
1430897986970,33.8128333,-116.9795,14.86,3.72,ml,USGS,ci37375632
1430834636765,39.083,-115.6669,0,3.4,ml,USGS,nn00492859
1430756370989,39.0784,-115.7039,0,3.2,ml,USGS,nn00492670
1430740602373,39.0869,-115.6756,0,3.7,ml,USGS,nn00492632
1430691199500,37.9665,-122.0436667,13.14,3.64,mw,USGS,nc72439615
1430664975280,38.4438,-118.7299,4.8,3.5,ml,USGS,nn00492533
1430651238080,33.9936667,-118.3613333,11.11,3.8,ml,USGS,ci37374008
1430402476000,33.8515,-118.2501667,12.73,3.41,ml,USGS,ci37372672
1430300216740,37.0578333,-118.269,5.137,3.49,ml,USGS,nc72437265
1430234348870,39.5011667,-122.9486667,11.239,3.1,ml,USGS,nc72436930
1430182383380,39.2703333,-122.7556667,11.836,3.23,ml,USGS,nc72436530
1430124486800,35.7033333,-121.0548333,9.356,3.05,ml,USGS,nc72436205
1429977917880,38.7861667,-122.72,1.764,3.28,ml,USGS,nc72435065
1429709724263,41.1802,-116.2214,1.1,3,ml,USGS,nn00490973
1429478907710,35.5746667,-120.8583333,4.764,3.19,ml,USGS,nc72431135
1429418145650,34.0161667,-116.4375,0.006,3.15,ml,USGS,ci37147927
1429156798490,34.3348333,-118.4566667,8.249,3.08,ml,USGS,ci37364384
1428898661040,33.9981667,-118.3601667,11.901,3.32,ml,USGS,ci37362808
1428521428070,32.4111667,-115.2448333,5.951,4.03,ml,USGS,ci37359312
1428520995390,32.376,-115.2085,7.281,4.27,mw,USGS,ci37359304
